# index	t(s)	pos.x	pos.y	pos.z	rot.x	rot.y	rot.z
0	0.000	-19.200	-0.957	1.176	0.000	0.000	0.000
1	0.800	-18.400	-0.924	0.416	0.000	0.000	0.000
2	1.600	-17.600	-0.876	-0.416	0.000	0.000	0.000
3	2.400	-16.800	-0.843	-1.176	0.000	0.000	0.000
4	3.200	-16.000	-0.848	-1.732	0.000	0.000	0.000
5	4.000	-15.200	-0.888	-1.989	0.000	0.000	0.000
6	4.800	-14.400	-0.935	-1.902	0.000	0.000	0.000
7	5.600	-13.600	-0.960	-1.486	0.000	0.000	0.000
8	6.400	-12.800	-0.945	-0.813	0.000	0.000	0.000
9	7.200	-12.000	-0.900	-0.000	0.000	0.000	0.000
10	8.000	-11.200	-0.855	0.813	0.000	0.000	0.000
11	8.800	-10.400	-0.840	1.486	0.000	0.000	0.000
12	9.600	-9.600	-0.865	1.902	0.000	0.000	0.000
13	10.400	-8.800	-0.912	1.989	0.000	0.000	0.000
14	11.200	-8.000	-0.952	1.732	0.000	0.000	0.000
15	12.000	-7.200	-0.957	1.176	0.000	0.000	0.000
16	12.800	-6.400	-0.924	0.416	0.000	0.000	0.000
17	13.600	-5.600	-0.876	-0.416	0.000	0.000	0.000
18	14.400	-4.800	-0.843	-1.176	0.000	0.000	0.000
19	15.200	-4.000	-0.848	-1.732	0.000	0.000	0.000
20	16.000	-3.200	-0.888	-1.989	0.000	0.000	0.000
21	16.800	-2.400	-0.935	-1.902	0.000	0.000	0.000
22	17.600	-1.600	-0.960	-1.486	0.000	0.000	0.000
23	18.400	-0.800	-0.945	-0.813	0.000	0.000	0.000
24	19.200	-0.000	-0.900	-0.000	0.000	0.000	0.000
25	20.000	0.800	-0.855	0.813	0.000	0.000	0.000
26	20.800	1.600	-0.840	1.486	0.000	0.000	0.000
27	21.600	2.400	-0.865	1.902	0.000	0.000	0.000
28	22.400	3.200	-0.912	1.989	0.000	0.000	0.000
29	23.200	4.000	-0.952	1.732	0.000	0.000	0.000
30	24.000	4.800	-0.957	1.176	0.000	0.000	0.000
31	24.800	5.600	-0.924	0.416	0.000	0.000	0.000
32	25.600	6.400	-0.876	-0.416	0.000	0.000	0.000
33	26.400	7.200	-0.843	-1.176	0.000	0.000	0.000
34	27.200	8.000	-0.848	-1.732	0.000	0.000	0.000
35	27.200	8.000	-0.848	-1.732	0.000	180.000	0.000
36	28.000	6.817	-0.855	-0.830	0.000	180.000	0.000
37	28.800	5.635	-0.922	0.380	0.000	180.000	0.000
38	29.600	4.452	-0.960	1.449	0.000	180.000	0.000
39	30.400	3.270	-0.917	1.980	0.000	180.000	0.000
40	31.200	2.087	-0.851	1.776	0.000	180.000	0.000
41	32.000	0.904	-0.851	0.912	0.000	180.000	0.000
42	32.800	-0.278	-0.917	-0.290	0.000	180.000	0.000
43	33.600	-1.461	-0.960	-1.385	0.000	180.000	0.000
44	34.400	-2.643	-0.922	-1.965	0.000	180.000	0.000
45	35.200	-3.826	-0.854	-1.816	0.000	180.000	0.000
46	36.000	-5.009	-0.848	-0.992	0.000	180.000	0.000
47	36.800	-6.191	-0.912	0.200	0.000	180.000	0.000
48	37.600	-7.374	-0.959	1.318	0.000	180.000	0.000
49	38.400	-8.557	-0.927	1.946	0.000	180.000	0.000
50	39.200	-9.739	-0.858	1.852	0.000	180.000	0.000
51	40.000	-10.922	-0.846	1.070	0.000	180.000	0.000
52	40.800	-12.104	-0.907	-0.109	0.000	180.000	0.000
53	41.600	-13.287	-0.959	-1.248	0.000	180.000	0.000
54	42.400	-14.470	-0.932	-1.923	0.000	180.000	0.000
55	43.200	-15.652	-0.862	-1.885	0.000	180.000	0.000
56	44.000	-16.835	-0.844	-1.146	0.000	180.000	0.000
57	44.800	-18.017	-0.901	0.018	0.000	180.000	0.000
58	45.600	-19.200	-0.957	1.176	0.000	0.000	0.000
